Conservative and Unionist Party
Liberal Democrats
Labour Party
Democratic Unionist Party
Scottish National Party
Sinn Féin
Plaid Cymru - Party of Wales
Social Democratic and Labour Party
Alliance Party of Northern Ireland
Green Party of England and Wales
Ulster Unionist Party
Scottish Green Party
Green Party in Northern Ireland
Traditional Unionist Voice
UK Independence Party
British National Party
